allegation_category_id,allegation_name
286,"Impact Weapon - Unauthorized (Flashlight, Handcuffs, Etc)"
287,Firearm Used As An Impact Weapon
288,Oc Chemical Weapon
289,Taser (Probe Discharge)
290,Taser (Contact Stun)
291,Taser (Laser Targeted)
292,Taser (Spark Displayed)
293,Canine
294,Vehicle
295,Miscellaneous
296,Closed Hand Strike (Punch)
297,Closed Hand Strike (Punch)
298,Open Hand Strike (Slap)
299,Open Hand Strike (Slap)
300,Elbow Strike
301,Kicked
302,Kicked
303,Stomped / Stepped On
304,Choked
305,Choked
306,Take Down (Thrown To Ground)
307,Take Down (Thrown To Ground)
308,Impact Weapon - Authorized (Baton / Asp)
309,Impact Weapon - Authorized (Baton / Asp)
310,"Impact Weapon - Unauthorized (Flashlight, Handcuffs, Etc)"
311,"Impact Weapon - Unauthorized (Flashlight, Handcuffs, Etc)"
312,Firearm Used As An Impact Weapon
313,Oc Chemical Weapon
314,Oc Chemical Weapon
315,Vehicle
316,Miscellaneous
317,Miscellaneous
318,Firearm Discharge With Hits - Handgun
319,Firearm Discharge With Hits - Handgun
320,Firearm Discharge With Hits - Miscellaneous Firearm
321,Firearm Discharge No Hits - Handgun
322,Firearm Discharge No Hits - Handgun
323,Firearm Discharge No Hits - Miscellaneous Firearm
324,Unjustified Pointing Of Firearm - Handgun
325,Unjustified Pointing Of Firearm - Handgun
326,Injury
327,No Injury
328,Stalking
329,Harassment
330,Verbal Abuse
331,Threats
332,Violation Of Court Order
333,Miscellaneous
334,Push/Pull/Grab
335,Push/Pull/Grab
336,Pushed To Ground
337,Pushed To Ground
338,Handcuff Too Tight
339,Handcuff Too Tight
340,Twisted Extremities (Wrist/Arm/Leg)
341,Twisted Extremities (Wrist/Arm/Leg)
342,Miscellaneous
343,Miscellaneous
344,Accident - Fatal
345,Accident - Injury
346,Accident - No Injury
347,Money - Failed To Inventory
348,Property - Failed To Inventory
349,Property - Failed To Issue Receipt
350,Citation
351,Traffic Crash Report
352,Unauthorized Weapon
353,Lost / Stolen Weapon
354,Failure To Register
355,Other
356,Federal
357,Wrong Ammunition
358,Lost / Stolen Weapon
359,Failure To Register
360,Other
361,Missing Money
362,Missing Property
363,Missing Both
364,Accident - Property Damage
365,With Keys
366,Without Keys
367,Street
368,Facility
369,Vehicle
370,Money - Failed To Issue Receipt
371,Contempt
372,Sexual Harassment
373,Racial
374,Ageism
375,Sexual Orientation
376,Gender
377,Hostile Work Environment
378,Fail To Submit
379,Improper
380,FALSE
381,Accident - Fatal
382,Accident - Injury
383,Amphetamines
384,Benzodiazepine
385,Benzodiazepine
386,Opiate
387,Opiate
388,Propoxyphene
389,Marijuana
390,Marijuana
391,Cocaine
392,Cocaine
393,Other
394,Timely Notification To Unit
395,Failure To Appear At Mss
396,Failure To Provide Proper Documentation
397,Not At Home
398,Firearm Discharge With Hits - Handgun
399,Firearm Discharge With Hits - Shotgun
400,Firearm Discharge With Hits - Rifle / Assault Weapon
401,Firearm Discharge With Hits - Miscellaneous Firearm
402,Firearm Discharge With Hits - Handgun
403,Dui-No Accident
404,Non Arrestee
405,Failure To Receive Approval For Travel
406,Misrepresentation Of Injury
407,Disability
408,Firearm Discharge
409,Other Use Of Force
410,Taser Discharge
411,Incident in Police Custody
412,Vehicle Licensing - State
413,Positive Drug Screen - Recruit
414,Drug/Substance Abuse
415,Motor Vehicle Fatality - On Duty
